Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
31/01/2025,Vente,"413950,00",1390.0,TRAMOYES,1,Maison,90.0,4.0,707.0
06/02/2025,Vente,"370500,00",1430.0,ST-MARTIN-DU-FRESNE,1,Maison,185.0,5.0,4625.0
24/02/2025,Vente,"95000,00",1450.0,LEYSSARD,1,Maison,184.0,6.0,88.0
09/01/2025,Vente,"314000,00",1000.0,BOURG-EN-BRESSE,1,Maison,144.0,6.0,983.0
28/02/2025,Vente,"949450,00",1220.0,DIVONNE-LES-BAINS,1,Maison,160.0,8.0,792.0
14/02/2025,Vente,"240000,00",1510.0,VIRIEU-LE-GRAND,1,Maison,88.0,4.0,672.0
10/01/2025,Vente,"250000,00",1130.0,LE POIZAT-LALLEYRIAT,1,Maison,115.0,6.0,552.0
12/03/2025,Vente,"230000,00",1260.0,VALROMEY-SUR-SERAN,1,Maison,134.0,5.0,125.0
03/02/2025,Vente,"252000,00",1500.0,SAINT-DENIS-EN-BUGEY,1,Maison,109.0,5.0,800.0
31/01/2025,Vente,"407500,00",1480.0,FRANS,1,Maison,170.0,6.0,765.0
14/02/2025,Vente,"180000,00",1300.0,CHAZEY-BONS,1,Maison,73.0,3.0,158.0
10/03/2025,Vente,"180000,00",1400.0,CHATILLON-SUR-CHALARONNE,1,Maison,125.0,5.0,290.0
09/01/2025,Vente,"1211150,00",1480.0,FAREINS,1,Maison,248.0,7.0,6000.0
12/02/2025,Vente,"788000,00",1630.0,ST-GENIS-POUILLY,1,Maison,100.0,3.0,1593.0
04/02/2025,Vente,"210000,00",1540.0,SAINT-JULIEN-SUR-VEYLE,1,Maison,100.0,4.0,875.0
04/02/2025,Vente,"140000,00",1000.0,BOURG-EN-BRESSE,1,Maison,60.0,3.0,325.0
10/02/2025,Vente,"260000,00",1630.0,ST-GENIS-POUILLY,1,Maison,120.0,4.0,345.0
30/01/2025,Vente,"145000,00",1560.0,SAINT-NIZIER-LE-BOUCHOUX,1,Maison,87.0,2.0,2130.0
31/01/2025,Vente,"215000,00",1150.0,LAGNIEU,1,Maison,90.0,4.0,194.0
