Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
22/01/2025,Vente,"185000,00",1250.0,NIVIGNE ET SURAN,1,Appartement,154.0,5.0,190.0
24/01/2025,Vente,"362000,00",1540.0,VONNAS,1,Maison,135.0,5.0,500.0
24/01/2025,Vente,"362000,00",1540.0,VONNAS,1,Maison,135.0,5.0,993.0
17/01/2025,Vente,"362000,00",1120.0,MONTLUEL,1,Maison,98.0,4.0,428.0
10/01/2025,Vente,"175000,00",1270.0,COLIGNY,1,Maison,148.0,3.0,74.0
22/01/2025,Vente,"440000,00",1550.0,COLLONGES,1,Maison,80.0,4.0,59.0
02/01/2025,Vente,"630000,00",1170.0,CHEVRY,1,Maison,124.0,5.0,517.0
07/01/2025,Vente,"378050,00",1600.0,MASSIEUX,1,Maison,115.0,5.0,500.0
07/01/2025,Vente,"378050,00",1600.0,MASSIEUX,1,Maison,115.0,5.0,1065.0
27/01/2025,Vente,"357760,00",1200.0,VALSERHONE,1,Maison,80.0,6.0,837.0
06/01/2025,Vente,"272500,00",1340.0,MARSONNAS,1,Maison,156.0,5.0,1200.0
06/01/2025,Vente,"272500,00",1340.0,MARSONNAS,1,Maison,156.0,5.0,2069.0
20/01/2025,Vente,"82000,00",1500.0,AMBERIEU-EN-BUGEY,1,Maison,70.0,2.0,65.0
29/01/2025,Vente,"330000,00",1600.0,MISERIEUX,1,Maison,83.0,4.0,820.0
27/01/2025,Vente,"250000,00",1500.0,AMBERIEU-EN-BUGEY,1,Maison,90.0,5.0,244.0
20/01/2025,Vente,"273000,00",1310.0,SAINT-MARTIN-LE-CHATEL,1,Maison,120.0,4.0,746.0
13/01/2025,Vente,"660200,00",1170.0,CHEVRY,1,Maison,125.0,4.0,462.0
20/01/2025,Vente,"370000,00",1150.0,LAGNIEU,1,Appartement,156.0,7.0,493.0
14/01/2025,Vente,"460000,00",1120.0,LA BOISSE,1,Maison,180.0,3.0,1024.0
23/01/2025,Vente,"253000,00",1160.0,PONT-D AIN,1,Maison,105.0,4.0,157.0
20/01/2025,Vente,"240000,00",1140.0,ILLIAT,1,Maison,97.0,4.0,318.0
24/01/2025,Vente,"60000,00",1230.0,SAINT-RAMBERT-EN-BUGEY,1,Maison,80.0,3.0,115.0
27/01/2025,Vente,"341700,00",1240.0,SAINT-PAUL-DE-VARAX,1,Maison,100.0,5.0,760.0
13/01/2025,Vente,"165000,00",1470.0,BRIORD,1,Maison,80.0,3.0,789.0
17/01/2025,Vente,"27600,00",1150.0,VAUX-EN-BUGEY,1,Maison,53.0,3.0,76.0
08/01/2025,Vente,"350000,00",1320.0,CHALAMONT,1,Maison,115.0,5.0,1380.0
28/01/2025,Vente,"380000,00",1330.0,BOULIGNEUX,1,Maison,99.0,6.0,404.0
17/01/2025,Vente,"455000,00",1700.0,MIRIBEL,1,Maison,136.0,4.0,500.0
17/01/2025,Vente,"455000,00",1700.0,MIRIBEL,1,Maison,136.0,4.0,1365.0
13/01/2025,Vente,"155000,00",1150.0,LAGNIEU,1,Maison,50.0,2.0,44.0
23/01/2025,Vente,"230000,00",1320.0,CHALAMONT,1,Maison,94.0,4.0,747.0
